"Customer Name", "Customer Address", "Customer Phone Number", "Status of Order", "Final Shopping Cart", "Courier Name", "Date/Time"

Not Providied,Not Providied,Not Providied,Preparing,[],[''],2022-11-17 00:49:29.704098

Not Providied,Not Providied,Not Providied,Preparing,[],[''],2022-11-17 00:50:20.546086

Not Providied,Not Providied,Not Providied,Preparing,[],[''],2022-11-17 00:51:04.525243

Not Providied,Not Providied,Not Providied,Preparing,[],[''],2022-11-17 00:51:27.612918

Zain,Space,0192093101,Ready,['Fanta'],['Uber Eats'],2022-11-18 10:36:01.435443

Zain,Zain,zain,Preparing,['Coke'],['Just Eat'],2022-11-22 22:05:35.120396
